id,name,department,base_salary,bonus,health_insurance,sport,remote_allowance,Role_ua,Role
1,Igor Sobol,Logistics,38000,2137,1,1,0,Логіст,Logistics Specialist
2,Oleksii Kutsenko,Sales,53000,8240,1,1,0,Менеджер з продажу,Sales Manager
3,Halyna Kovalenko,Marketing,60000,12748,1,1,1,Маркетолог,Marketing Specialist
4,Olha Koval,Marketing,60000,9339,1,1,0,Маркетолог,Marketing Specialist
5,Andriana Sobol,HR,38000,5310,1,1,1,HR-менеджер,HR Manager
6,Lesia Boyko,Sales,47000,3275,1,0,0,Менеджер з продажу,Sales Manager
7,Oksana Oliinyk,Marketing,60000,4043,1,0,0,Маркетолог,Marketing Specialist
8,Denys Levchenko,Sales,47000,5616,1,1,0,Менеджер з продажу,Sales Manager
9,Andriana Savchenko,Logistics,55000,3731,1,0,0,Логіст,Logistics Specialist
10,Anna Oliinyk,Retail,38000,8437,1,1,0,Фахівець роздрібної торгівлі,Retail Specialist
11,Viktor Holub,Sales,60000,7731,1,1,0,Менеджер з продажу,Sales Manager
12,Andrii Marchenko,Marketing,58000,10138,0,0,1,Маркетолог,Marketing Specialist
13,Lesia Oliinyk,Logistics,52000,9606,0,1,0,Логіст,Logistics Specialist
14,Iryna Klymenko,Marketing,54000,9362,0,0,1,Маркетолог,Marketing Specialist
15,Stepan Kovalenko,IT,54000,7894,1,1,1,Програміст,Python Developer
16,Olha Rudenko,Logistics,38000,8376,1,1,0,Логіст,Logistics Specialist
17,Olena Polishchuk,HR,40000,6537,0,0,1,HR-менеджер,HR Manager
18,Andrii Zhuk,IT,56000,14987,1,0,0,Програміст,Python Developer
19,Oleksa Petrenko,Marketing,55000,15860,0,0,1,Маркетолог,Marketing Specialist
20,Viktor Boyko,Sales,46000,12405,0,1,1,Менеджер з продажу,Sales Manager
21,Andrii Danyliuk,Sales,37000,8620,0,0,0,Менеджер з продажу,Sales Manager
22,Denys Sobol,Logistics,50000,14335,1,0,0,Логіст,Logistics Specialist
23,Viktor Vasylenko,Logistics,41000,9357,1,0,0,Логіст,Logistics Specialist
24,Svitlana Oliinyk,HR,38000,4255,1,1,1,HR-менеджер,HR Manager
25,Volodymyr Melnyk,Sales,37000,8397,1,1,1,Менеджер з продажу,Sales Manager
26,Viktor Boyko,IT,65000,7775,1,0,0,Програміст,Python Developer
27,Igor Klymenko,IT,80000,8859,1,1,1,Програміст,Python Developer
28,Petro Romaniuk,Retail,34000,5194,0,1,0,Фахівець роздрібної торгівлі,Retail Specialist
29,Stepan Karpov,Sales,47000,10906,0,1,1,Менеджер з продажу,Sales Manager
30,Halyna Kutsenko,Marketing,51000,4889,1,0,1,Маркетолог,Marketing Specialist
31,Oleksandr Marchenko,Sales,36000,7669,1,1,1,Менеджер з продажу,Sales Manager
32,Mykhailo Kovalenko,Marketing,51000,8741,1,1,1,Маркетолог,Marketing Specialist
33,Mariana Kutsenko,HR,43000,12110,0,1,0,HR-менеджер,HR Manager
34,Stepan Sydorenko,Logistics,50000,4434,1,0,0,Логіст,Logistics Specialist
35,Iryna Sydorenko,Logistics,45000,2893,1,0,0,Логіст,Logistics Specialist
36,Mykhailo Bondar,IT,55000,14455,1,1,0,Програміст,Python Developer
37,Svitlana Vasylenko,IT,65000,12657,1,1,0,Програміст,Python Developer
38,Igor Shapoval,Retail,32000,3234,0,1,0,Фахівець роздрібної торгівлі,Retail Specialist
39,Svitlana Romaniuk,HR,45000,12701,0,1,0,HR-менеджер,HR Manager
40,Viktor Marchenko,Sales,52000,5371,1,0,0,Менеджер з продажу,Sales Manager
41,Halyna Vasylenko,Retail,32000,2861,0,0,0,Фахівець роздрібної торгівлі,Retail Specialist
42,Andrii Chernenko,Sales,56000,14239,1,0,0,Менеджер з продажу,Sales Manager
43,Volodymyr Kravets,Sales,38000,8952,1,1,0,Менеджер з продажу,Sales Manager
44,Anna Koval,Logistics,55000,14477,1,1,0,Логіст,Logistics Specialist
45,Serhii Horbenko,Logistics,48000,12352,1,1,1,Логіст,Logistics Specialist
46,Viktor Tkachenko,Logistics,49000,9208,1,1,1,Логіст,Logistics Specialist
47,Natalia Zhuk,IT,52000,13449,1,1,1,Програміст,Python Developer
48,Viktor Pavlenko,Sales,46000,4715,1,1,0,Менеджер з продажу,Sales Manager
49,Iryna Pavlenko,IT,59000,16605,1,1,0,Програміст,Python Developer
50,Oksana Marchenko,Sales,40000,9365,1,0,0,Менеджер з продажу,Sales Manager
51,Kateryna Ivanov,Retail,30000,7405,1,0,0,Фахівець роздрібної торгівлі,Retail Specialist
52,Denys Dmytrenko,HR,46000,5809,0,1,1,HR-менеджер,HR Manager
53,Mykhailo Sobol,Retail,32000,8514,0,1,0,Фахівець роздрібної торгівлі,Retail Specialist
54,Serhii Shevchuk,Retail,28000,2207,0,1,0,Фахівець роздрібної торгівлі,Retail Specialist
55,Olena Bondar,Sales,54000,8566,0,1,0,Менеджер з продажу,Sales Manager
56,Halyna Sobol,HR,53000,5168,1,1,1,HR-менеджер,HR Manager
57,Volodymyr Bondar,Logistics,41000,5783,1,0,0,Логіст,Logistics Specialist
