id,name,department,base_salary,bonus,health_insurance,sport,remote_allowance,Role_ua,Role,Average_Market_Salary_UAH,Last_Updated
1,Соболь Ігор,Logistics,38000,2137,1,1,0,Логіст,Logistics Specialist,21500,2026-06-20
2,Куценко Олексій,Sales,53000,8240,1,1,0,Менеджер з продажу,Sales Manager,23000,2026-06-20
3,Коваленко Галина,Marketing,60000,12748,1,1,1,Маркетолог,Marketing Specialist,24000,2026-06-20
4,Коваль Ольга,Administration,45000,9339,1,1,0,Бухгалтер,Accountant,20000,2026-06-20
5,Соболь Андріана,Administration,60000,5310,1,1,1,Директор,Director,45000,2026-06-20
6,Бойко Леся,Sales,47000,3275,1,0,0,Продавець-консультант,Retail Specialist,16500,2026-06-20
7,Олійник Оксана,Customer Service,32000,4043,1,0,0,Бариста,Barista,15500,2026-06-20
8,Левченко Денис,Operations,35000,5616,1,1,0,Кухар,Cook,18000,2026-06-20
9,Савченко Андріана,Operations,30000,3731,1,0,0,Комірник,Storekeeper,17500,2026-06-20
10,Олійник Анна,Operations,28000,8437,1,1,0,Вантажник,Loader,16000,2026-06-20
11,Голуб Віктор,Sales,42000,7731,1,1,0,Касир,Cashier,18000,2026-06-20
12,Марченко Андрій,Marketing,58000,10138,0,0,1,Маркетолог,Marketing Specialist,24000,2026-06-20
13,Олійник Леся,Logistics,52000,9606,0,1,0,Логіст,Logistics Specialist,21500,2026-06-20
14,Клименко Ірина,Marketing,54000,9362,0,0,1,SMM-менеджер,SMM Manager,18000,2026-06-20
15,Коваленко Степан,IT,65000,7894,1,1,1,Програміст,Developer,52000,2026-06-20
16,Руденко Ольга,Logistics,38000,8376,1,1,0,Логіст,Logistics Specialist,21500,2026-06-20
17,Поліщук Олена,HR,40000,6537,0,0,1,HR-менеджер,HR Manager,25000,2026-06-20
18,Жук Андрій,IT,56000,14987,1,0,0,Програміст,Developer,52000,2026-06-20
19,Петренко Олекса,Marketing,55000,15860,0,0,1,Маркетолог,Marketing Specialist,24000,2026-06-20
20,Бойко Віктор,Sales,46000,12405,0,1,1,Менеджер з продажу,Sales Manager,23000,2026-06-20
21,Данилюк Андрій,Sales,37000,8620,0,0,0,Продавець-консультант,Retail Specialist,16500,2026-06-20
22,Соболь Денис,Logistics,50000,14335,1,0,0,Логіст,Logistics Specialist,21500,2026-06-20
23,Василенко Віктор,Logistics,41000,9357,1,0,0,Логіст,Logistics Specialist,21500,2026-06-20
24,Олійник Світлана,HR,38000,4255,1,1,1,HR-менеджер,HR Manager,25000,2026-06-20
25,Мельник Володимир,Sales,37000,8397,1,1,1,Менеджер з продажу,Sales Manager,23000,2026-06-20
26,Бойко Віктор,IT,65000,7775,1,0,0,Програміст,Developer,52000,2026-06-20
27,Клименко Ігор,IT,80000,8859,1,1,1,Програміст,Developer,52000,2026-06-20
28,Романюк Петро,Sales,34000,5194,0,1,0,Касир,Cashier,18000,2026-06-20
29,Карпов Степан,Sales,47000,10906,0,1,1,Менеджер з продажу,Sales Manager,23000,2026-06-20
30,Куценко Галина,Marketing,51000,4889,1,0,1,Маркетолог,Marketing Specialist,24000,2026-06-20
31,Марченко Олександр,Sales,36000,7669,1,1,1,Продавець-консультант,Retail Specialist,16500,2026-06-20
32,Коваленко Михайло,Marketing,51000,8741,1,1,1,SMM-менеджер,SMM Manager,18000,2026-06-20
33,Куценко Маріана,HR,43000,12110,0,1,0,HR-менеджер,HR Manager,25000,2026-06-20
34,Сидоренко Степан,Logistics,50000,4434,1,0,0,Логіст,Logistics Specialist,21500,2026-06-20
35,Сидоренко Ірина,Logistics,45000,2893,1,0,0,Логіст,Logistics Specialist,21500,2026-06-20
36,Бондар Михайло,IT,55000,14455,1,1,0,Програміст,Developer,52000,2026-06-20
37,Василенко Світлана,IT,65000,12657,1,1,0,Програміст,Developer,52000,2026-06-20
38,Шаповал Ігор,Customer Service,32000,3234,0,1,0,Офіціант,Waiter,15000,2026-06-20
39,Романюк Світлана,HR,45000,12701,0,1,0,HR-менеджер,HR Manager,25000,2026-06-20
40,Марченко Віктор,Sales,52000,5371,1,0,0,Менеджер з продажу,Sales Manager,23000,2026-06-20
41,Василенко Галина,Sales,32000,2861,0,0,0,Касир,Cashier,18000,2026-06-20
42,Черненко Андрій,Sales,56000,14239,1,0,0,Менеджер з продажу,Sales Manager,23000,2026-06-20
43,Кравець Володимир,Sales,38000,8952,1,1,0,Продавець-консультант,Retail Specialist,16500,2026-06-20
44,Коваль Анна,Logistics,55000,14477,1,1,0,Логіст,Logistics Specialist,21500,2026-06-20
45,Горбенко Сергій,Operations,48000,12352,1,1,1,Кухар,Cook,18000,2026-06-20
46,Ткаченко Віктор,Operations,49000,9208,1,1,1,Комірник,Storekeeper,17500,2026-06-20
47,Жук Наталія,IT,52000,13449,1,1,1,Програміст,Developer,52000,2026-06-20
48,Павленко Віктор,Sales,46000,4715,1,1,0,Менеджер з продажу,Sales Manager,23000,2026-06-20
49,Павленко Ірина,IT,59000,16605,1,1,0,Програміст,Developer,52000,2026-06-20
50,Марченко Оксана,Sales,40000,9365,1,0,0,Продавець-консультант,Retail Specialist,16500,2026-06-20
51,Іваненко Катерина,Sales,30000,7405,1,0,0,Касир,Cashier,18000,2026-06-20
52,Дмитренко Денис,HR,46000,5809,0,1,1,HR-менеджер,HR Manager,25000,2026-06-20
53,Соболь Михайло,Sales,32000,8514,0,1,0,Продавець-консультант,Retail Specialist,16500,2026-06-20
54,Шевчук Сергій,Operations,28000,2207,0,1,0,Вантажник,Loader,16000,2026-06-20
55,Бондар Олена,Sales,54000,8566,0,1,0,Менеджер з продажу,Sales Manager,23000,2026-06-20
56,Соболь Галина,HR,53000,5168,1,1,1,HR-менеджер,HR Manager,25000,2026-06-20
57,Бондар Володимир,Logistics,41000,5783,1,0,0,Логіст,Logistics Specialist,21500,2026-06-20
58,Данилюк Степан,Operations,44000,7778,1,1,0,Кухар,Cook,18000,2026-06-20
59,Шаповал Світлана,Marketing,51000,11027,1,0,1,Маркетолог,Marketing Specialist,24000,2026-06-20
60,Голуб Інна,HR,52000,13438,1,1,0,HR-менеджер,HR Manager,25000,2026-06-20
61,Горбенко Галина,HR,49000,7866,1,1,0,HR-менеджер,HR Manager,25000,2026-06-20
62,Марченко Олександр,Logistics,37000,4475,1,0,1,Логіст,Logistics Specialist,21500,2026-06-20
63,Мельник Олекса,Operations,44000,4671,1,1,0,Комірник,Storekeeper,17500,2026-06-20
64,Марченко Михайло,HR,48000,13033,1,0,1,HR-менеджер,HR Manager,25000,2026-06-20
65,Клименко Олександр,Marketing,58000,12870,0,0,0,SMM-менеджер,SMM Manager,18000,2026-06-20
66,Бондар Лідія,Marketing,43000,10794,1,1,1,Маркетолог,Marketing Specialist,24000,2026-06-20
67,Карпов Олександр,Administration,39000,9763,1,0,1,Адміністратор,Administrator,18500,2026-06-20
68,Гриценко Оксана,IT,82000,12848,0,1,1,Програміст,Developer,52000,2026-06-20
69,Марченко Олекса,HR,43000,10231,0,1,0,HR-менеджер,HR Manager,25000,2026-06-20
70,Коваль Степан,Sales,35000,2427,1,1,0,Продавець-консультант,Retail Specialist,16500,2026-06-20
71,Мороз Юлія,Marketing,42000,4528,1,0,1,Маркетолог,Marketing Specialist,24000,2026-06-20
72,Петренко Світлана,IT,79000,12161,1,1,0,Програміст,Developer,52000,2026-06-20
73,Павленко Віктор,IT,74000,12524,0,1,1,Програміст,Developer,52000,2026-06-20
74,Петренко Олекса,IT,84000,20997,0,1,1,Програміст,Developer,52000,2026-06-20
75,Данилюк Лідія,HR,45000,9774,0,0,0,HR-менеджер,HR Manager,25000,2026-06-20
76,Клименко Петро,IT,84000,4766,1,0,1,Програміст,Developer,52000,2026-06-20
77,Мороз Володимир,Marketing,65000,10752,1,1,1,Маркетолог,Marketing Specialist,24000,2026-06-20
78,Соболь Олексій,HR,43000,10234,0,1,1,HR-менеджер,HR Manager,25000,2026-06-20
79,Марченко Олексій,Sales,46000,4878,1,0,1,Менеджер з продажу,Sales Manager,23000,2026-06-20
80,Кравець Світлана,Marketing,64000,3526,1,1,0,SMM-менеджер,SMM Manager,18000,2026-06-20
81,Горбенко Ольга,HR,43000,10394,1,0,0,HR-менеджер,HR Manager,25000,2026-06-20
82,Дмитренко Михайло,Sales,29000,5645,0,0,0,Касир,Cashier,18000,2026-06-20
83,Шаповал Олександр,Logistics,41000,2828,1,0,1,Логіст,Logistics Specialist,21500,2026-06-20
84,Клименко Степан,Operations,54000,13574,0,0,1,Кухар,Cook,18000,2026-06-20
85,Романюк Олекса,Operations,46000,3093,1,1,0,Комірник,Storekeeper,17500,2026-06-20
86,Василенко Маріана,HR,46000,9609,0,0,1,HR-менеджер,HR Manager,25000,2026-06-20
87,Левченко Тарас,Operations,43000,8771,0,0,0,Різноробочий,General Worker,14500,2026-06-20
88,Бойко Андріана,Customer Service,31000,7988,1,0,0,Бариста,Barista,15500,2026-06-20
89,Черненко Леся,IT,74000,9923,1,1,1,Програміст,Developer,52000,2026-06-20
90,Коваль Денис,Customer Service,32000,8642,0,1,1,Офіціант,Waiter,15000,2026-06-20
91,Кушнір Богдан,Marketing,61000,9248,1,1,1,Маркетолог,Marketing Specialist,24000,2026-06-20
92,Жук Світлана,HR,35000,2564,1,0,1,HR-менеджер,HR Manager,25000,2026-06-20
93,Мазур Богдан,HR,52000,9501,1,0,1,HR-менеджер,HR Manager,25000,2026-06-20
94,Поліщук Степан,Sales,32000,3611,1,1,1,Продавець-консультант,Retail Specialist,16500,2026-06-20
95,Руденко Інна,Marketing,44000,10324,1,0,0,SMM-менеджер,SMM Manager,18000,2026-06-20
96,Левченко Андрій,Sales,41000,5086,1,1,0,Менеджер з продажу,Sales Manager,23000,2026-06-20
97,Романюк Олекса,Sales,36000,6780,1,1,0,Продавець-консультант,Retail Specialist,16500,2026-06-20
98,Гриценко Сергій,Sales,53000,6417,1,1,0,Менеджер з продажу,Sales Manager,23000,2026-06-20
99,Бойко Андрій,Sales,37000,5556,1,0,1,Продавець-консультант,Retail Specialist,16500,2026-06-20
100,Олійник Галина,Customer Service,29000,8655,1,0,0,Бариста,Barista,15500,2026-06-20
